date,quantity
2021-01-01,45
2021-01-02,42
2021-01-03,40
2021-01-04,54
2021-01-05,54
2021-01-06,54
2021-01-07,50
2021-01-08,48
2021-01-09,43
2021-01-10,39
2021-01-11,54
2021-01-12,50
2021-01-13,50
2021-01-14,52
2021-01-15,50
2021-01-16,48
2021-01-17,43
2021-01-18,54
2021-01-19,55
2021-01-20,53
2021-01-21,48
2021-01-22,46
2021-01-23,39
2021-01-24,38
2021-01-25,51
2021-01-26,52
2021-01-27,51
2021-01-28,50
2021-01-29,48
2021-01-30,45
2021-01-31,42
2021-02-01,58
2021-02-02,53
2021-02-03,49
2021-02-04,44
2021-02-05,46
2021-02-06,43
2021-02-07,42
2021-02-08,60
2021-02-09,56
2021-02-10,57
2021-02-11,53
2021-02-12,51
2021-02-13,47
2021-02-14,42
2021-02-15,59
2021-02-16,50
2021-02-17,49
2021-02-18,49
2021-02-19,48
2021-02-20,43
2021-02-21,41
2021-02-22,51
2021-02-23,54
2021-02-24,52
2021-02-25,44
2021-02-26,42
2021-02-27,42
2021-02-28,41
2021-03-01,54
2021-03-02,50
2021-03-03,46
2021-03-04,45
2021-03-05,41
2021-03-06,40
2021-03-07,38
2021-03-08,52
2021-03-09,53
2021-03-10,48
2021-03-11,46
2021-03-12,47
2021-03-13,42
2021-03-14,39
2021-03-15,51
2021-03-16,47
2021-03-17,45
2021-03-18,42
2021-03-19,45
2021-03-20,38
2021-03-21,39
2021-03-22,50
2021-03-23,51
2021-03-24,48
2021-03-25,45
2021-03-26,40
2021-03-27,33
2021-03-28,35
2021-03-29,46
2021-03-30,45
2021-03-31,42
2021-04-01,34
2021-04-02,41
2021-04-03,36
2021-04-04,40
2021-04-05,48
2021-04-06,47
2021-04-07,52
2021-04-08,44
2021-04-09,43
2021-04-10,38
2021-04-11,35
2021-04-12,43
2021-04-13,43
2021-04-14,43
2021-04-15,37
2021-04-16,41
2021-04-17,39
2021-04-18,36
2021-04-19,45
2021-04-20,45
2021-04-21,42
2021-04-22,39
2021-04-23,40
2021-04-24,42
2021-04-25,38
2021-04-26,51
2021-04-27,48
2021-04-28,43
2021-04-29,36
2021-04-30,30
2021-05-01,27
2021-05-02,27
2021-05-03,40
2021-05-04,43
2021-05-05,41
2021-05-06,39
2021-05-07,40
2021-05-08,40
2021-05-09,36
2021-05-10,41
2021-05-11,41
2021-05-12,43
2021-05-13,37
2021-05-14,36
2021-05-15,33
2021-05-16,27
2021-05-17,42
2021-05-18,41
2021-05-19,43
2021-05-20,41
2021-05-21,34
2021-05-22,30
2021-05-23,31
2021-05-24,47
2021-05-25,43
2021-05-26,44
2021-05-27,37
2021-05-28,40
2021-05-29,31
2021-05-30,34
2021-05-31,44
2021-06-01,42
2021-06-02,36
2021-06-03,37
2021-06-04,31
2021-06-05,32
2021-06-06,32
2021-06-07,42
2021-06-08,42
2021-06-09,39
2021-06-10,36
2021-06-11,37
2021-06-12,29
2021-06-13,34
2021-06-14,41
2021-06-15,43
2021-06-16,37
2021-06-17,36
2021-06-18,33
2021-06-19,29
2021-06-20,28
2021-06-21,38
2021-06-22,40
2021-06-23,38
2021-06-24,35
2021-06-25,35
2021-06-26,34
2021-06-27,30
2021-06-28,41
2021-06-29,39
2021-06-30,37
2021-07-01,34
2021-07-02,36
2021-07-03,32
2021-07-04,29
2021-07-05,42
2021-07-06,38
2021-07-07,33
2021-07-08,36
2021-07-09,33
2021-07-10,29
2021-07-11,25
2021-07-12,43
2021-07-13,42
2021-07-14,38
2021-07-15,34
2021-07-16,32
2021-07-17,28
2021-07-18,23
2021-07-19,43
2021-07-20,40
2021-07-21,37
2021-07-22,35
2021-07-23,31
2021-07-24,28
2021-07-25,28
2021-07-26,36
2021-07-27,40
2021-07-28,41
2021-07-29,34
2021-07-30,28
2021-07-31,27
2021-08-01,30
2021-08-02,37
2021-08-03,39
2021-08-04,34
2021-08-05,38
2021-08-06,35
2021-08-07,30
2021-08-08,29
2021-08-09,42
2021-08-10,39
2021-08-11,38
2021-08-12,33
2021-08-13,35
