date,quantity
2021-01-01,47
2021-01-02,50
2021-01-03,53
2021-01-04,44
2021-01-05,31
2021-01-06,32
2021-01-07,39
2021-01-08,44
2021-01-09,52
2021-01-10,49
2021-01-11,43
2021-01-12,37
2021-01-13,35
2021-01-14,41
2021-01-15,46
2021-01-16,49
2021-01-17,51
2021-01-18,38
2021-01-19,38
2021-01-20,34
2021-01-21,38
2021-01-22,44
2021-01-23,56
2021-01-24,52
2021-01-25,41
2021-01-26,37
2021-01-27,37
2021-01-28,39
2021-01-29,46
2021-01-30,54
2021-01-31,57
2021-02-01,40
2021-02-02,35
2021-02-03,34
2021-02-04,41
2021-02-05,49
2021-02-06,53
2021-02-07,50
2021-02-08,39
2021-02-09,38
2021-02-10,38
2021-02-11,40
2021-02-12,45
2021-02-13,54
2021-02-14,52
2021-02-15,43
2021-02-16,40
2021-02-17,37
2021-02-18,41
2021-02-19,47
2021-02-20,55
2021-02-21,55
2021-02-22,40
2021-02-23,38
2021-02-24,37
2021-02-25,41
2021-02-26,49
2021-02-27,59
2021-02-28,52
2021-03-01,46
2021-03-02,35
2021-03-03,38
2021-03-04,44
2021-03-05,50
2021-03-06,58
2021-03-07,57
2021-03-08,44
2021-03-09,38
2021-03-10,41
2021-03-11,42
2021-03-12,46
2021-03-13,55
2021-03-14,55
2021-03-15,48
2021-03-16,43
2021-03-17,42
2021-03-18,43
2021-03-19,50
2021-03-20,59
2021-03-21,56
2021-03-22,48
2021-03-23,40
2021-03-24,40
2021-03-25,44
2021-03-26,50
2021-03-27,63
2021-03-28,60
2021-03-29,50
2021-03-30,46
2021-03-31,46
2021-04-01,53
2021-04-02,54
2021-04-03,60
2021-04-04,59
2021-04-05,45
2021-04-06,43
2021-04-07,40
2021-04-08,44
2021-04-09,55
2021-04-10,60
2021-04-11,62
2021-04-12,55
2021-04-13,46
2021-04-14,49
2021-04-15,47
2021-04-16,55
2021-04-17,59
2021-04-18,61
2021-04-19,55
2021-04-20,43
2021-04-21,48
2021-04-22,52
2021-04-23,55
2021-04-24,59
2021-04-25,62
2021-04-26,51
2021-04-27,47
2021-04-28,48
2021-04-29,57
2021-04-30,62
2021-05-01,67
2021-05-02,70
2021-05-03,56
2021-05-04,53
2021-05-05,55
2021-05-06,54
2021-05-07,65
2021-05-08,62
2021-05-09,64
2021-05-10,55
2021-05-11,55
2021-05-12,47
2021-05-13,56
2021-05-14,63
2021-05-15,67
2021-05-16,69
2021-05-17,60
2021-05-18,57
2021-05-19,57
2021-05-20,62
2021-05-21,64
2021-05-22,69
2021-05-23,65
2021-05-24,59
2021-05-25,54
2021-05-26,53
2021-05-27,58
2021-05-28,66
2021-05-29,73
2021-05-30,68
2021-05-31,58
2021-06-01,50
2021-06-02,49
2021-06-03,56
2021-06-04,66
2021-06-05,78
2021-06-06,72
2021-06-07,65
2021-06-08,57
2021-06-09,54
2021-06-10,56
2021-06-11,65
2021-06-12,81
2021-06-13,70
2021-06-14,67
2021-06-15,58
2021-06-16,61
2021-06-17,64
2021-06-18,70
2021-06-19,78
2021-06-20,76
2021-06-21,69
2021-06-22,62
2021-06-23,60
2021-06-24,63
2021-06-25,73
2021-06-26,84
2021-06-27,76
2021-06-28,66
2021-06-29,61
2021-06-30,64
2021-07-01,65
2021-07-02,70
2021-07-03,80
2021-07-04,78
2021-07-05,71
2021-07-06,62
2021-07-07,58
2021-07-08,62
2021-07-09,76
2021-07-10,84
2021-07-11,78
2021-07-12,66
2021-07-13,67
2021-07-14,59
2021-07-15,63
2021-07-16,75
2021-07-17,79
2021-07-18,78
2021-07-19,67
2021-07-20,63
2021-07-21,62
2021-07-22,61
2021-07-23,71
2021-07-24,72
2021-07-25,76
2021-07-26,65
2021-07-27,60
2021-07-28,60
2021-07-29,64
2021-07-30,74
2021-07-31,75
2021-08-01,77
2021-08-02,66
2021-08-03,59
2021-08-04,62
2021-08-05,64
2021-08-06,73
2021-08-07,74
2021-08-08,74
2021-08-09,66
2021-08-10,61
2021-08-11,61
2021-08-12,59
2021-08-13,69
2021-08-14,77
2021-08-15,83
2021-08-16,72
2021-08-17,60
2021-08-18,56
2021-08-19,55
2021-08-20,66
2021-08-21,76
2021-08-22,77
2021-08-23,62
2021-08-24,58
2021-08-25,50
2021-08-26,55
2021-08-27,62
2021-08-28,71
2021-08-29,71
2021-08-30,64
2021-08-31,51
2021-09-01,51
2021-09-02,59
2021-09-03,58
2021-09-04,65
2021-09-05,71
2021-09-06,63
2021-09-07,50
2021-09-08,53
2021-09-09,60
2021-09-10,70
2021-09-11,70
2021-09-12,72
2021-09-13,65
2021-09-14,55
2021-09-15,51
2021-09-16,56
2021-09-17,61
2021-09-18,68
2021-09-19,65
2021-09-20,54
2021-09-21,46
2021-09-22,47
2021-09-23,51
2021-09-24,58
2021-09-25,67
2021-09-26,66
2021-09-27,53
2021-09-28,47
2021-09-29,47
2021-09-30,50
2021-10-01,63
2021-10-02,69
2021-10-03,65
2021-10-04,52
2021-10-05,45
2021-10-06,50
2021-10-07,49
2021-10-08,57
2021-10-09,59
2021-10-10,65
2021-10-11,54
2021-10-12,44
2021-10-13,44
2021-10-14,49
2021-10-15,56
2021-10-16,62
2021-10-17,61
2021-10-18,50
2021-10-19,45
2021-10-20,50
2021-10-21,44
2021-10-22,56
2021-10-23,62
2021-10-24,60
2021-10-25,48
2021-10-26,40
2021-10-27,45
2021-10-28,52
2021-10-29,52
2021-10-30,63
2021-10-31,59
2021-11-01,49
2021-11-02,40
2021-11-03,43
2021-11-04,50
2021-11-05,57
2021-11-06,65
2021-11-07,61
2021-11-08,49
2021-11-09,46
2021-11-10,42
2021-11-11,47
2021-11-12,51
2021-11-13,58
2021-11-14,55
2021-11-15,49
2021-11-16,38
2021-11-17,42
2021-11-18,42
2021-11-19,53
2021-11-20,61
2021-11-21,62
2021-11-22,49
2021-11-23,36
2021-11-24,40
2021-11-25,40
2021-11-26,49
2021-11-27,62
2021-11-28,58
2021-11-29,45
2021-11-30,37
2021-12-01,39
2021-12-02,39
2021-12-03,47
2021-12-04,57
2021-12-05,58
2021-12-06,46
2021-12-07,34
2021-12-08,39
2021-12-09,41
2021-12-10,50
2021-12-11,61
2021-12-12,51
2021-12-13,43
2021-12-14,40
2021-12-15,34
2021-12-16,45
2021-12-17,50
2021-12-18,58
2021-12-19,53
2021-12-20,46
2021-12-21,42
2021-12-22,38
2021-12-23,41
2021-12-24,49
2021-12-25,54
2021-12-26,53
2021-12-27,43
2021-12-28,40
2021-12-29,40
2021-12-30,38
2021-12-31,48
2022-01-01,59
2022-01-02,52
2022-01-03,43
2022-01-04,41
2022-01-05,42
2022-01-06,41
2022-01-07,51
2022-01-08,58
2022-01-09,56
2022-01-10,45
2022-01-11,45
2022-01-12,37
2022-01-13,36
2022-01-14,53
2022-01-15,55
2022-01-16,55
2022-01-17,48
2022-01-18,36
2022-01-19,35
2022-01-20,37
2022-01-21,47
2022-01-22,56
2022-01-23,56
2022-01-24,45
2022-01-25,35
2022-01-26,32
2022-01-27,41
2022-01-28,48
2022-01-29,57
2022-01-30,57
2022-01-31,46
2022-02-01,41
2022-02-02,39
2022-02-03,44
2022-02-04,47
2022-02-05,56
2022-02-06,57
2022-02-07,48
2022-02-08,40
2022-02-09,42
2022-02-10,44
2022-02-11,50
2022-02-12,59
2022-02-13,51
2022-02-14,44
2022-02-15,38
2022-02-16,35
2022-02-17,43
2022-02-18,53
2022-02-19,58
2022-02-20,58
2022-02-21,51
2022-02-22,47
2022-02-23,41
2022-02-24,48
2022-02-25,52
2022-02-26,57
2022-02-27,56
2022-02-28,44
2022-03-01,41
2022-03-02,41
2022-03-03,47
2022-03-04,56
2022-03-05,55
2022-03-06,59
2022-03-07,45
2022-03-08,44
2022-03-09,42
2022-03-10,41
2022-03-11,55
2022-03-12,58
2022-03-13,57
2022-03-14,46
2022-03-15,44
2022-03-16,44
2022-03-17,45
2022-03-18,54
2022-03-19,62
2022-03-20,64
2022-03-21,51
2022-03-22,45
2022-03-23,51
2022-03-24,48
2022-03-25,59
2022-03-26,67
2022-03-27,61
2022-03-28,54
2022-03-29,55
2022-03-30,52
2022-03-31,53
2022-04-01,59
2022-04-02,66
2022-04-03,59
2022-04-04,53
2022-04-05,48
2022-04-06,50
2022-04-07,53
2022-04-08,56
2022-04-09,63
2022-04-10,61
2022-04-11,53
2022-04-12,48
2022-04-13,52
2022-04-14,55
2022-04-15,60
2022-04-16,66
2022-04-17,62
2022-04-18,53
2022-04-19,50
2022-04-20,51
2022-04-21,51
2022-04-22,61
2022-04-23,67
2022-04-24,68
2022-04-25,67
2022-04-26,54
2022-04-27,56
2022-04-28,56
2022-04-29,63
2022-04-30,69
2022-05-01,68
2022-05-02,59
2022-05-03,57
2022-05-04,52
2022-05-05,57
2022-05-06,67
2022-05-07,73
2022-05-08,73
2022-05-09,62
2022-05-10,55
2022-05-11,59
2022-05-12,61
2022-05-13,67
2022-05-14,69
2022-05-15,68
2022-05-16,66
2022-05-17,60
2022-05-18,51
2022-05-19,57
2022-05-20,63
2022-05-21,75
2022-05-22,77
2022-05-23,63
2022-05-24,58
2022-05-25,61
2022-05-26,57
2022-05-27,68
2022-05-28,74
2022-05-29,74
2022-05-30,66
2022-05-31,59
2022-06-01,64
2022-06-02,64
2022-06-03,72
2022-06-04,82
2022-06-05,73
2022-06-06,65
2022-06-07,67
2022-06-08,64
2022-06-09,71
2022-06-10,74
2022-06-11,86
2022-06-12,79
2022-06-13,70
2022-06-14,66
2022-06-15,59
2022-06-16,63
2022-06-17,72
2022-06-18,79
2022-06-19,77
2022-06-20,73
2022-06-21,65
2022-06-22,61
2022-06-23,58
2022-06-24,71
2022-06-25,77
2022-06-26,78
2022-06-27,72
2022-06-28,66
2022-06-29,65
2022-06-30,66
2022-07-01,75
2022-07-02,78
2022-07-03,82
2022-07-04,73
2022-07-05,68
2022-07-06,67
2022-07-07,65
2022-07-08,77
2022-07-09,78
